customer_name,product_name,rating,review_text,source
Мария Петрова,Блендер «Вихрь-300»,2,"Курьер привёз коробку мокрой, внутри крошки пластика. Работает, но осадок неприятный.",csv_sample
Сергей И.,Кофемашина «Арома 9»,5,"Спасибо за быструю доставку и вежливого оператора! Всё объяснили, кофе отличный.",csv_sample
Ольга,Подписка на фильтры,4,"Предлагаю добавить напоминание о замене фильтра в приложении — удобно было бы.",csv_sample
Дмитрий,Соковыжималка «Цитрус»,3,"Цена адекватная, но шумит сильнее, чем ожидал. В целом доволен, хотя упаковка пришла с вмятиной.",csv_sample
Анна К.,Чайник электрический,1,"На сайте написано «в наличии», ждала две недели. Поддержка отвечала шаблонами.",csv_sample
Игорь,Набор ножей,5,"Благодарю за подарочную упаковку — заказывали на годовщину, всё выглядит солидно.",csv_sample
Елена,Пылесос «Тихий дом»,4,"Хотелось бы расширить гарантию на аксессуары. Сама техника хорошая, спасибо.",csv_sample
Павел,Робот-пылесос,2,"Доставка в срок, но приложение часто вылетает. Робот моет нормально, надеюсь почините софт.",csv_sample
Наталья,Фен для волос,5,"Отличное качество и тихий режим — редкость. Рекомендую!",csv_sample
Виктор,Гриль электрический,3,"Жалоба на запах при первом включении, но после прогрева прошёл. Еда получается вкусной, спасибо за инструкцию.",csv_sample
